filepath,happiness,surprise,sadness,anger,disgust,fear
archive/RAF-DB/train/train_01991_aligned_sadness.jpg,0.01,0.0,0.78,0.01,0.19,0.01
archive/RAF-DB/train/train_08757_aligned_happiness.jpg,0.98,0.0,0.0,0.0,0.01,0.0
archive/RAF-DB/train/train_05198_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_09067_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_06979_aligned_sadness.jpg,0.0,0.0,1.0,0.0,0.0,0.0
archive/RAF-DB/train/train_01127_aligned_surprise.jpg,0.0,1.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_01774_aligned_sadness.jpg,0.0,0.0,1.0,0.0,0.0,0.0
archive/RAF-DB/train/train_03058_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_06649_aligned_sadness.jpg,0.0,0.0,1.0,0.0,0.0,0.0
archive/RAF-DB/train/train_02768_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_08240_aligned_surprise.jpg,0.0,0.99,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_03949_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_09530_aligned_disgust.jpg,0.0,0.0,0.0,0.0,0.99,0.0
archive/RAF-DB/train/train_05841_aligned_sadness.jpg,0.0,0.0,0.98,0.0,0.0,0.01
archive/RAF-DB/train/train_08815_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_05948_aligned_surprise.jpg,0.03,0.96,0.0,0.0,0.01,0.0
archive/RAF-DB/train/train_06708_aligned_surprise.jpg,0.0,1.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_05889_aligned_happiness.jpg,0.98,0.0,0.01,0.0,0.01,0.0
archive/RAF-DB/train/train_09294_aligned_fear.jpg,0.02,0.01,0.0,0.0,0.0,0.97
archive/RAF-DB/train/train_00019_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_08739_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_07644_aligned_sadness.jpg,0.0,0.0,1.0,0.0,0.0,0.0
archive/RAF-DB/train/train_06798_aligned_anger.jpg,0.0,0.0,0.0,0.98,0.01,0.01
archive/RAF-DB/train/train_03665_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_07080_aligned_surprise.jpg,0.01,0.7,0.0,0.0,0.0,0.29
archive/RAF-DB/train/train_06506_aligned_surprise.jpg,0.01,0.99,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_06771_aligned_surprise.jpg,0.01,0.99,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_08812_aligned_sadness.jpg,0.0,0.0,1.0,0.0,0.0,0.0
archive/RAF-DB/train/train_03036_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_09272_aligned_fear.jpg,0.0,0.0,0.0,0.0,0.0,1.0
archive/RAF-DB/train/train_03581_aligned_happiness.jpg,0.99,0.0,0.0,0.0,0.0,0.01
archive/RAF-DB/train/train_07073_aligned_surprise.jpg,0.01,0.99,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_02706_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_04095_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_01805_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_00393_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_00624_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_07687_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_03794_aligned_sadness.jpg,0.01,0.0,0.98,0.0,0.0,0.01
archive/RAF-DB/train/train_04984_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_01114_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_05810_aligned_sadness.jpg,0.0,0.0,0.99,0.0,0.0,0.0
archive/RAF-DB/train/train_04999_aligned_sadness.jpg,0.0,0.0,0.99,0.0,0.0,0.0
archive/RAF-DB/train/train_01747_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_03971_aligned_sadness.jpg,0.0,0.0,1.0,0.0,0.0,0.0
archive/RAF-DB/train/train_00077_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_09561_aligned_disgust.jpg,0.0,0.0,0.0,0.0,1.0,0.0
archive/RAF-DB/train/train_06253_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_05228_aligned_surprise.jpg,0.0,1.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_09592_aligned_disgust.jpg,0.01,0.0,0.01,0.01,0.98,0.0
archive/RAF-DB/train/train_07176_aligned_sadness.jpg,0.0,0.0,0.99,0.0,0.0,0.0
archive/RAF-DB/train/train_09447_aligned_disgust.jpg,0.0,0.0,0.0,0.0,1.0,0.0
archive/RAF-DB/train/train_01017_aligned_sadness.jpg,0.0,0.0,1.0,0.0,0.0,0.0
archive/RAF-DB/train/train_00518_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_05936_aligned_sadness.jpg,0.02,0.0,0.92,0.0,0.03,0.02
archive/RAF-DB/train/train_08256_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_09176_aligned_fear.jpg,0.01,0.02,0.0,0.0,0.0,0.97
archive/RAF-DB/train/train_09375_aligned_fear.jpg,0.0,0.0,0.0,0.0,0.0,1.0
archive/RAF-DB/train/train_03559_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_03173_aligned_sadness.jpg,0.01,0.0,0.68,0.01,0.29,0.0
archive/RAF-DB/train/train_08934_aligned_sadness.jpg,0.0,0.0,1.0,0.0,0.0,0.0
archive/RAF-DB/train/train_03305_aligned_surprise.jpg,0.05,0.92,0.0,0.0,0.01,0.02
archive/RAF-DB/train/train_08405_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_02683_aligned_surprise.jpg,0.0,1.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_07987_aligned_sadness.jpg,0.0,0.0,1.0,0.0,0.0,0.0
archive/RAF-DB/train/train_08429_aligned_anger.jpg,0.0,0.0,0.0,1.0,0.0,0.0
archive/RAF-DB/train/train_06101_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_03991_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_01598_aligned_disgust.jpg,0.0,0.0,0.0,0.0,1.0,0.0
archive/RAF-DB/train/train_09190_aligned_fear.jpg,0.0,0.0,0.0,0.0,0.0,1.0
archive/RAF-DB/train/train_08194_aligned_sadness.jpg,0.0,0.0,1.0,0.0,0.0,0.0
archive/RAF-DB/train/train_09416_aligned_disgust.jpg,0.0,0.0,0.0,0.01,0.99,0.0
archive/RAF-DB/train/train_05657_aligned_sadness.jpg,0.03,0.01,0.88,0.01,0.06,0.02
archive/RAF-DB/train/train_01246_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_00023_aligned_anger.jpg,0.0,0.0,0.0,1.0,0.0,0.0
archive/RAF-DB/train/train_09393_aligned_fear.jpg,0.0,0.0,0.0,0.0,0.0,1.0
archive/RAF-DB/train/train_08965_aligned_sadness.jpg,0.03,0.0,0.97,0.0,0.0,0.0
archive/RAF-DB/train/train_04553_aligned_surprise.jpg,0.03,0.97,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_08238_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_04192_aligned_anger.jpg,0.0,0.0,0.0,1.0,0.0,0.0
archive/RAF-DB/train/train_03364_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_05196_aligned_sadness.jpg,0.01,0.0,0.97,0.0,0.0,0.01
archive/RAF-DB/train/train_03537_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_05713_aligned_happiness.jpg,0.84,0.07,0.0,0.04,0.05,0.01
archive/RAF-DB/train/train_03080_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_02207_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_04608_aligned_anger.jpg,0.0,0.0,0.0,0.91,0.08,0.01
archive/RAF-DB/train/train_04023_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_04594_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_01652_aligned_sadness.jpg,0.36,0.0,0.53,0.0,0.0,0.1
archive/RAF-DB/train/train_01578_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
archive/RAF-DB/train/train_09085_aligned_anger.jpg,0.0,0.0,0.0,1.0,0.0,0.0
archive/RAF-DB/train/train_08419_aligned_sadness.jpg,0.0,0.0,1.0,0.0,0.0,0.0
archive/RAF-DB/train/train_03209_aligned_happiness.jpg,1.0,0.0,0.0,0.0,0.0,0.0
